date,season,neutral,playoff,team1,team2,elo1_pre,elo2_pre,elo_prob1,elo_prob2,elo1_post,elo2_post,carm-elo1_pre,carm-elo2_pre,carm-elo_prob1,carm-elo_prob2,carm-elo1_post,carm-elo2_post,raptor1_pre,raptor2_pre,raptor_prob1,raptor_prob2,score1,score2,quality,importance,total_rating
10/18/2022,2023,0,,BOS,PHI,1657.639749,1582.247327,0.7329496792169642,0.2670503207830358,1662.198884,1577.688193,,,,,,,1693.243079,1641.876729,0.670612272,0.329387728,126,117,96,13,55
10/18/2022,2023,0,,GSW,LAL,1660.620307,1442.352444,0.8620113605559427,0.13798863944405726,1663.449489,1439.523261,,,,,,,1615.718147,1472.173711,0.776502203,0.223497797,123,109,67,20,44
10/19/2022,2023,0,,IND,WAS,1399.201934,1440.077372,0.5842751356684089,0.41572486433159106,1388.883119,1450.396186,,,,,,,1462.352663,1472.018225,0.599509667,0.400490333,107,114,37,28,33
10/19/2022,2023,0,,DET,ORL,1393.525172,1366.089249,0.6755904178506404,0.32440958214935955,1397.248913,1362.365508,,,,,,,1308.969909,1349.865183,0.563269619,0.436730381,113,109,3,1,2
10/19/2022,2023,0,,ATL,HOU,1535.408152,1351.164973,0.8370220184388393,0.16297798156116072,1538.164082,1348.409043,,,,,,,1618.256817,1283.328356,0.917650869,0.082349131,117,107,24,1,13
10/19/2022,2023,0,,MEM,NYK,1605.024654,1520.387218,0.7432364335032929,0.25676356649670706,1607.526099,1517.885772,,,,,,,1612.012431,1549.908529,0.69185078,0.30814922,115,112,80,25,53
10/19/2022,2023,0,,MIA,CHI,1617.953109,1447.489006,0.8259104491351971,0.17408955086480293,1598.814714,1466.627401,,,,,,,1649.036255,1494.446735,0.792030746,0.207969254,108,116,76,19,48
10/19/2022,2023,0,,BRK,NOP,1528.459783,1534.686244,0.6317667943371347,0.3682332056628653,1504.540694,1558.605334,,,,,,,1602.205215,1560.602073,0.665556035,0.334443965,108,130,80,44,62
10/19/2022,2023,0,,TOR,CLE,1553.500366,1488.39721,0.7211976586263064,0.27880234137369364,1556.254012,1485.643564,,,,,,,1626.38461,1581.813151,0.664147293,0.335852707,108,105,86,40,63
10/19/2022,2023,0,,SAS,CHO,1490.000063,1527.437795,0.5890736856029641,0.41092631439703586,1464.873416,1552.564441,,,,,,,1446.239753,1490.285279,0.555666719,0.444333281,102,129,37,34,36
10/19/2022,2023,0,,MIN,OKC,1542.313951,1366.069014,0.8306433512275968,0.1693566487724032,1544.647714,1363.735251,,,,,,,1608.57122,1336.036127,0.885149863,0.114850137,115,108,34,4,19
10/19/2022,2023,0,,UTA,DEN,1551.760034,1524.965197,0.6747810790818942,0.3252189209181058,1561.768195,1514.957035,,,,,,,1511.349212,1649.732805,0.460710889,0.539289111,123,102,79,32,56
10/19/2022,2023,0,,PHO,DAL,1588.407013,1600.25575,0.6242060322946893,0.3757939677053107,1591.799353,1596.86341,,,,,,,1631.138377,1641.211165,0.606950067,0.393049933,107,105,92,19,56
10/19/2022,2023,0,,SAC,POR,1413.467854,1315.977213,0.7571003688361516,0.24289963116384838,1398.338993,1331.106074,,,,,,,1453.692201,1506.200356,0.530336219,0.469663781,108,115,42,49,46
10/20/2022,2023,0,,PHI,MIL,1577.688193,1584.130853,0.6314772195805215,0.3685227804194785,1571.092076,1590.72697,,,,,,,1634.943219,1593.592588,0.65901159,0.34098841,88,90,88,28,58
10/20/2022,2023,0,,LAL,LAC,1439.523261,1519.606473,0.5286312063078279,0.4713687936921721,1431.215365,1527.91437,,,,,,,1451.460314,1602.033528,0.386724965,0.613275035,97,103,60,39,50
10/21/2022,2023,0,,IND,SAS,1388.883119,1464.873416,0.5344978416149595,0.4655021583850405,1382.789733,1470.966802,,,,,,,1447.659121,1435.841364,0.63294814,0.36705186,134,137,27,15,21
10/21/2022,2023,0,,WAS,CHI,1450.396186,1466.627401,0.6182700450784729,0.38172995492152706,1453.853434,1463.170153,,,,,,,1465.542566,1498.529615,0.557942956,0.442057044,102,100,43,36,40
10/21/2022,2023,0,,CHO,NOP,1552.564441,1558.605334,0.6320152667373115,0.36798473326268855,1536.66045,1574.509325,,,,,,,1464.173815,1574.888241,0.446477525,0.553522475,112,124,58,53,56
10/21/2022,2023,0,,NYK,DET,1517.885772,1397.248913,0.7807577874200752,0.21924221257992482,1524.826236,1390.308449,,,,,,,1549.205361,1309.489912,0.854540964,0.145459036,130,106,21,8,15
10/21/2022,2023,0,,ATL,ORL,1538.164082,1362.365508,0.830281584,0.169718416,1541.049875,1359.479715,,,,,,,1612.942308,1330.346187,0.891561078,0.108438922,108,98,33,3,18
10/21/2022,2023,0,,BRK,TOR,1504.540694,1556.254012,0.569046139,0.430953861,1509.788978,1551.005728,,,,,,,1579.131474,1611.017772,0.558744746,0.441255254,109,105,84,49,67
10/21/2022,2023,0,,MIA,BOS,1598.814714,1662.198884,0.5525001903615011,0.4474998096384989,1589.238081,1671.775517,,,,,,,1640.93919,1690.602715,0.540850428,0.459149572,104,111,96,23,60
10/21/2022,2023,0,,MIN,UTA,1544.647714,1561.768195,0.6170611615103895,0.3829388384896105,1534.426905,1571.989004,,,,,,,1621.628239,1529.012685,0.734318405,0.265681595,126,132,78,41,60
10/21/2022,2023,0,,HOU,MEM,1348.409043,1607.526099,0.2857835418780714,0.7142164581219286,1344.143554,1611.791589,,,,,,,1292.149595,1590.126039,0.211574591,0.788425409,122,129,22,2,12
10/21/2022,2023,0,,POR,PHO,1331.106074,1591.799353,0.28393514971829487,0.7160648502817051,1339.04674,1583.858687,,,,,,,1494.636751,1630.626826,0.412347524,0.587652476,113,111,74,38,56
10/21/2022,2023,0,,GSW,DEN,1663.449489,1514.957035,0.8069694822331271,0.19303051776687286,1649.273492,1529.133032,,,,,,,1611.543301,1608.506449,0.60954703,0.39045297,123,128,88,17,53
10/22/2022,2023,0,,PHI,SAS,1571.092076,1470.966802,0.7598785317708528,0.24012146822914715,1553.479193,1488.579684,,,,,,,1629.032281,1441.573633,0.854657956,0.145342044,105,114,63,9,36
10/22/2022,2023,0,,IND,DET,1382.789733,1390.308449,0.6300345566141312,0.3699654433858688,1389.495936,1383.602247,,,,,,,1435.591453,1339.254482,0.734777545,0.265222455,124,115,11,6,9
10/22/2022,2023,0,,ORL,BOS,1359.479715,1671.775517,0.22757187,0.7724281302499469,1356.471173,1674.784059,,,,,,,1298.291561,1675.723344,0.145696634,0.854303366,120,126,35,2,19
10/22/2022,2023,0,,MIL,HOU,1590.72697,1344.143554,0.8802810709163705,0.11971892908362947,1593.797633,1341.07289,,,,,,,1597.754234,1319.987357,0.909846257,0.090153743,125,105,29,2,16
10/22/2022,2023,0,,CHI,CLE,1463.170153,1485.643564,0.6097541510671184,0.3902458489328816,1433.372302,1515.441415,,,,,,,1500.696029,1517.439863,0.516985688,0.483014312,96,128,55,59,57
10/22/2022,2023,0,,MIA,TOR,1589.238081,1551.005728,0.6890602161442887,0.3109397838557113,1592.368582,1547.875227,,,,,,,1643.702742,1608.49173,0.656206771,0.343793229,112,109,90,28,59
10/22/2022,2023,0,,DAL,MEM,1596.86341,1611.791589,0.6200387659180309,0.37996123408196913,1616.446244,1592.208755,,,,,,,1630.484836,1585.494526,0.716874167,0.283125833,137,96,87,10,49
10/22/2022,2023,0,,DEN,OKC,1529.133032,1363.735251,0.8216772308836774,0.1783227691163226,1531.203321,1361.664963,,,,,,,1620.830826,1348.407787,0.877392742,0.122607258,122,117,39,1,20
10/22/2022,2023,0,,SAC,LAC,1398.338993,1527.91437,0.45754011957284985,0.5424598804271501,1394.019646,1532.233716,,,,,,,1460.02056,1562.404691,0.457701729,0.542298271,109,111,55,32,44
10/23/2022,2023,0,,LAL,POR,1431.215365,1339.04674,0.7514221492310738,0.24857785076892625,1422.634674,1347.627431,,,,,,,1471.803264,1502.999563,0.566380144,0.433619856,104,106,45,46,46
10/23/2022,2023,0,,ATL,CHO,1541.049875,1536.66045,0.6458653499962258,0.3541346500037742,1520.405216,1557.305109,,,,,,,1614.870753,1409.839817,0.838404768,0.161595232,109,126,53,17,35
10/23/2022,2023,0,,CLE,WAS,1515.441415,1453.853434,0.7171108268182285,0.28288917318177154,1520.640678,1448.654171,,,,,,,1500.411912,1466.873117,0.590678355,0.409321645,117,107,44,41,43
10/23/2022,2023,0,,NOP,UTA,1574.509325,1571.989004,0.6434005726643969,0.3565994273356031,1568.8435,1577.65483,,,,,,,1569.644361,1535.535567,0.649246677,0.350753323,121,122,71,60,66
10/23/2022,2023,0,,OKC,MIN,1361.664963,1534.426905,0.3967916303362882,0.6032083696637118,1353.88255,1542.209317,,,,,,,1325.352677,1617.293097,0.186562375,0.813437625,106,116,33,7,20
10/23/2022,2023,0,,GSW,SAC,1649.273492,1394.019646,0.8854419812040192,0.11455801879598082,1650.529038,1392.7641,,,,,,,1608.751417,1465.532621,0.817593767,0.182406233,130,125,64,14,39
10/23/2022,2023,0,,LAC,PHO,1532.233716,1583.858687,0.5691708524096692,0.43082914759033075,1514.888631,1601.203772,,,,,,,1592.192862,1617.7798,0.505138478,0.494861522,95,112,86,36,61
10/24/2022,2023,0,,PHI,IND,1553.479193,1389.495936,0.8204810121903765,0.1795189878096235,1557.291846,1385.683284,,,,,,,1621.972623,1438.372174,0.815093615,0.184906385,120,106,61,20,41
10/24/2022,2023,0,,NYK,ORL,1524.826236,1356.471173,0.8241579310871753,0.17584206891282472,1528.373751,1352.923659,,,,,,,1548.811759,1300.152073,0.866630427,0.133369573,115,102,19,7,13
10/24/2022,2023,0,,MIA,TOR,1592.368582,1547.875227,0.696729188,0.30327081244963405,1578.06333,1562.180479,,,,,,,1627.83736,1589.61203,0.651452082,0.348547918,90,98,87,29,58
10/24/2022,2023,0,,MIN,SAS,1542.209317,1488.579684,0.7077255783032128,0.2922744216967872,1526.500939,1504.288062,,,,,,,1613.18367,1456.551076,0.749282393,0.250717607,106,115,63,19,41
10/24/2022,2023,0,,CHI,BOS,1433.372302,1674.784059,0.3070320721993854,0.6929679278006147,1457.173403,1650.982958,,,,,,,1478.642911,1698.722957,0.310831593,0.689168407,120,102,80,17,49
10/24/2022,2023,0,,MEM,BRK,1592.208755,1509.788978,0.7407926893006233,0.25920731069937675,1596.903482,1505.094251,,,,,,,1591.873824,1600.32955,0.595755335,0.404244665,134,124,84,31,58
10/24/2022,2023,0,,HOU,UTA,1341.07289,1577.65483,0.3129789829106955,0.6870210170893045,1353.001354,1565.726366,,,,,,,1271.685881,1543.073117,0.286364893,0.713635107,114,108,13,15,14
10/24/2022,2023,0,,POR,DEN,1347.627431,1531.203321,0.38199205746618503,0.618007943,1373.022111,1505.808641,,,,,,,1489.297593,1622.375444,0.350546582,0.649453418,135,110,72,29,51
